Name,Country,Team,Position,Appearances,Goals,Interceptions,Time Played (min),Fouls Conceded,Total Passes,Touches,Yellow Cards
Dimitri Foulquier,GP,VAL,Defender,33,0,16,1833,24,771,1325,3
Dimitrios Stamatakis,GR,OSA,Goalkeeper,0,0,0,0,0,0,0,0
Dion Lopy,SN,ALM,Midfielder,30,0,15,1917,30,866,1197,5
Djené Dakonam,TG,GET,Defender,33,0,23,2490,51,1040,1430,12
Djibril Sow,CH,SEV,Midfielder,24,1,17,1469,27,675,874,5
Djordjije Medenica,NONE,GET,Goalkeeper,0,0,0,0,0,0,0,0
Dodi Lukébakio,BE,SEV,Forward,23,5,2,1124,24,310,588,0
Domingos de Sousa Coutinho Meneses Duarte,PT,GET,Defender,15,0,8,906,8,376,464,3
Dominik Greif,SK,MLL,Goalkeeper,1,0,0,90,0,29,36,0
Edgar González,ES,ALM,Midfielder,31,2,38,2528,29,1343,1704,5
Edgar Pujol,ES,RMA,Defender,0,0,0,0,0,0,0,0
Eduardo Camavinga,FR,RMA,Midfielder,31,0,29,1824,49,1298,1733,9
Eghosa Bello,NG,GRA,Forward,0,0,0,0,0,0,0,0
Egoitz Muñoz,ES,NONE,NONE,0,0,0,0,0,0,0,0
Eneko Ortiz,ES,ALA,Defender,1,0,0,13,0,1,4,0
Enes Ünal,TR,BOU,Forward,16,2,1,320,10,72,166,1
Enrique Fernández,ES,BET,Midfielder,0,0,0,0,0,0,0,0
Enzo Loiodice,FR,LPA,Midfielder,34,0,12,1791,32,1100,1476,2
Eric Bailly,CI,VIL,Defender,10,0,9,838,6,383,477,4
Eric Curbelo,ES,LPA,Defender,2,0,2,101,0,58,78,0
Eric García,ES,GIR,Defender,30,5,30,2641,24,2193,2635,4
Eric Monjonell,ES,NONE,NONE,0,0,0,0,0,0,0,0
Etta Eyong,CM,CAD,Midfielder,1,0,0,20,1,2,4,0
Fabio González,ES,LPA,Midfielder,6,0,0,121,1,126,137,1
Fabrizio Angileri,AR,GET,Defender,11,0,4,160,1,89,125,2
Facundo Esnáider,ES,GET,Midfielder,0,0,0,0,0,0,0,0
Facundo Pellistri,UY,GRA,Forward,15,2,4,1220,22,262,518,0
Faitout Maouassa,FR,GRA,Defender,6,0,1,244,3,58,134,0
Rafael Jiménez Jarque,ES,CAD,Defender,30,0,27,2550,23,1033,1345,12
Famara Diédhiou,SN,NONE,NONE,0,0,0,0,0,0,0,0
Fede San Emeterio,ES,NONE,NONE,0,0,0,0,0,0,0,0
Federico Gattoni,AR,NONE,NONE,0,0,0,0,0,0,0,0
Federico Valverde,UY,RMA,Midfielder,37,2,43,2910,19,2073,2519,2
Ferland Mendy,FR,RMA,Defender,23,0,13,1725,17,1134,1454,5
Fermín López,ES,BAR,Midfielder,31,8,4,1444,43,606,917,2
Fernando Francisco Reges,BR,NONE,NONE,0,0,0,0,0,0,0,0
Fernando Martínez,ES,ALM,Goalkeeper,4,0,0,360,0,131,184,0
Ferran Torres,ES,BAR,Midfielder,29,7,5,1203,8,419,625,2
Filip Jørgensen,DK,VIL,Goalkeeper,36,0,2,3240,2,1121,1527,4
Florian Lejeune,FR,RAY,Defender,37,3,23,3328,26,2006,2432,5
Fran Beltrán,ES,CEL,Midfielder,33,0,18,2437,28,1342,1653,2
Fran García,ES,RMA,Defender,25,1,19,1396,10,813,1192,2
Francisco Javier González Pérez,ES,NONE,NONE,0,0,0,0,0,0,0,0
Fran Pérez,ES,VAL,Midfielder,32,1,14,2069,31,529,953,4
Francisco Barbosa Vieites,ES,BET,Goalkeeper,4,0,0,315,0,99,141,0
Fran Árbol,ES,GRA,Goalkeeper,0,0,0,0,0,0,0,0
Francis Coquelin,FR,VIL,Midfielder,17,0,16,909,18,429,551,4
Franco Cervi,AR,CEL,Forward,17,0,9,537,6,240,403,2
Frenkie de Jong,NL,BAR,Midfielder,20,2,14,1637,19,1639,1895,7
Gabri Veiga,ES,NONE,NONE,0,0,0,0,0,0,0,0
Gabriel Armando de Abreu,BR,ATM,Defender,5,0,4,405,4,273,322,1
Gaizka Ayesa,ES,RSO,Goalkeeper,0,0,0,0,0,0,0,0
Gaizka García,ES,ALA,Goalkeeper,0,0,0,0,0,0,0,0
Gastón Álvarez,UY,GET,Defender,34,2,35,2535,43,890,1371,7
Pablo Martín Páez Gavira,ES,BAR,Midfielder,12,1,8,943,31,526,730,5
Gerard Gumbau,ES,GRA,Midfielder,35,0,25,2684,62,1337,1818,12
Gerard Moreno,ES,VIL,Forward,30,10,9,2228,22,963,1415,0
Germán Pezzella,AR,BET,Defender,32,1,31,2770,22,1480,1821,7
Giorgi Gagua,GE,ALA,Forward,0,0,0,0,0,0,0,0
Giorgi Mamardashvili,GE,VAL,Goalkeeper,37,0,2,3285,3,967,1327,3
Giovanni González,UY,MLL,Defender,34,1,31,2464,38,997,1575,7
Giuliano Simeone,AR,ALA,Forward,14,1,5,628,11,154,277,1
Gonzalo Escalante,AR,CAD,Midfielder,25,1,27,1702,31,698,941,2
Gonzalo García,ES,RMA,Forward,2,0,0,17,0,7,12,0
Gonzalo Melero,ES,ALM,Midfielder,28,1,4,1094,21,456,622,3
Gonzalo Montiel,AR,NFO,Defender,14,0,9,802,6,318,487,5
Gonzalo Villar,ES,GRA,Midfielder,35,1,6,1784,44,910,1274,7
Gonçalo Manuel Ganchinho Guedes,PT,VIL,Midfielder,17,3,2,951,5,301,471,0
Gonçalo Mendes Paciência,PT,BOC,Forward,19,3,0,645,9,161,356,3
Gorka Guruzeta,ES,ATH,Forward,32,14,17,2240,45,603,1003,2
Gorka Rivera,ES,GET,Defender,1,0,0,2,0,5,6,0
Guilherme Borges Guedes,PT,NONE,NONE,0,0,0,0,0,0,0,0
Guido Rodríguez,AR,BET,Midfielder,24,2,29,1849,23,1032,1338,6
Guilherme Sousa Carvalho Fernandes,PT,BET,Goalkeeper,0,0,0,0,0,0,0,0
Hamari Traoré,ML,RSO,Defender,31,0,24,2296,32,1220,1797,7
Hannibal Mejbri,TN,SEV,Midfielder,6,0,0,101,4,48,80,2
Horatiu Moldovan,RO,ATM,Goalkeeper,0,0,0,0,0,0,0,0
Houboulang Mendes,GW,MIR,Defender,5,0,2,260,7,72,137,3
Hugo Duro,ES,VAL,Forward,37,13,5,2994,41,556,1049,4
Hugo González,ES,VAL,Midfielder,9,0,0,79,3,30,53,0
Hugo Guillamón,ES,VAL,Defender,26,1,12,1306,36,686,827,6
Hugo Rincón,ES,ATH,Defender,0,0,0,0,0,0,0,0
Hugo Sotelo,ES,CEL,Midfielder,17,0,2,718,16,556,686,1
